,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Albania,0.0,96.1,86.6,66.1,64.9,0.7,7.2,-1.6,-2.4,0.1,5.5,5.2,1.0,0.7,-0.2,1.3,32.0,0.1,22.0,7010.69,12.6,56.1
Algeria,7.0,88.1,85.0,70.3,63.9,0.6,11.8,5.3,-4.4,0.0,14.9,53.8,0.9,0.9,-0.1,2.3,0.4,0.0,22.9,11438.08,20.1,23.7
Angola,34.2,45.9,37.6,60.0,41.3,0.7,28.3,15.1,-7.6,-1.0,8.1,0.5,0.7,0.5,-0.1,0.3,72.9,0.0,-5.8,4445.12,6.9,18.7
Argentina,5.0,97.1,92.8,95.1,66.2,0.7,37.8,4.5,-2.2,-1.2,12.1,3.9,2.3,1.7,0.0,3.8,7.8,2.0,1.3,15468.73,12.6,51.9
Armenia,10.9,94.9,89.4,71.7,65.2,0.7,10.3,-1.5,-1.8,-0.1,27.0,28.1,1.0,0.7,-0.1,1.4,6.4,0.0,10.9,5527.64,33.6,16.2
Australia,0.0,100.0,100.0,112.9,70.5,0.7,10.5,5.1,10.1,-0.3,12.4,3.9,4.8,5.6,0.0,18.3,5.7,2.6,8.0,37421.54,5.4,10.0
Austria,0.0,100.0,100.0,88.1,70.1,0.7,7.1,2.3,10.0,0.5,28.5,4.7,1.9,4.0,-0.1,9.1,20.8,16.7,14.1,38973.88,4.9,67.0
Azerbaijan,5.0,77.6,72.1,71.7,60.9,0.7,2.8,3.5,-5.4,0.6,6.9,33.3,1.0,1.5,-0.1,3.5,2.1,0.4,-4.2,9407.50,8.0,10.2
Bangladesh,17.1,79.1,49.7,51.3,58.6,0.6,7.1,6.8,-6.4,-0.2,0.7,2.9,0.4,0.2,-0.1,0.2,36.7,0.0,19.8,2018.20,4.5,42.3
Belarus,0.0,99.5,94.7,96.8,61.3,0.7,5.6,-2.7,-5.9,1.9,8.5,3.0,2.0,2.8,-0.1,5.7,4.2,0.0,16.1,10980.51,6.5,11.1
Belgium,0.0,100.0,99.5,92.9,69.1,0.7,7.6,1.9,8.1,0.3,17.7,35.7,2.6,5.6,0.0,10.2,2.0,1.7,14.4,37076.28,8.4,90.9
Benin,15.9,69.4,14.0,53.0,49.2,0.6,11.3,14.0,-1.6,-5.1,50.6,0.5,0.9,0.3,-0.1,0.3,66.9,0.0,9.4,1565.55,1.3,11.4
Bhutan,0.0,89.1,37.4,43.1,57.1,0.7,10.8,12.1,0.3,5.5,36.6,0.4,3.8,0.2,0.0,0.4,53.3,0.0,38.3,4081.92,2.5,82.5
Bolivia,31.1,82.1,37.4,87.9,58.3,0.6,47.7,7.4,-3.1,-2.7,32.0,0.4,2.1,0.5,0.1,5.1,16.7,0.1,4.5,4280.15,4.3,55.2
Bosnia-Herzegovina,0.0,98.2,41.3,73.5,65.8,0.7,9.0,0.9,-1.5,-0.2,0.7,0.9,1.5,1.3,-0.1,4.1,13.8,0.0,5.0,7507.58,28.3,21.2
Botswana,32.8,95.2,55.4,70.5,45.1,0.7,59.7,5.8,4.4,-2.1,29.3,1.6,1.5,1.0,0.0,2.3,24.4,0.0,24.5,10966.64,22.9,6.2
Brazil,5.0,94.9,77.1,86.1,63.7,0.7,50.6,5.6,-0.1,-3.2,33.0,0.7,2.2,1.1,-0.1,1.6,42.9,0.3,6.8,11708.51,8.9,65.8
Bulgaria,0.0,99.6,85.8,76.6,64.3,0.7,10.1,-3.5,1.4,3.4,19.0,14.0,1.8,2.4,-0.1,6.0,5.5,0.0,3.2,13093.49,12.0,22.7
Burkina Faso,25.9,67.3,13.8,24.6,46.4,0.6,14.3,12.4,-2.1,-2.2,16.3,6.3,1.0,0.3,0.0,0.1,86.3,0.0,3.6,1201.08,2.8,22.6
Burundi,0.0,73.0,45.3,34.5,46.1,0.7,7.0,14.2,-8.9,-1.5,6.4,2.3,1.0,0.3,0.0,0.1,86.3,0.0,-42.0,645.83,7.3,130.3
Cambodia,20.8,50.6,23.2,60.1,50.7,0.6,8.6,7.0,-5.0,-8.5,34.5,0.5,0.8,0.3,0.1,0.2,72.6,0.0,3.1,1959.91,1.8,32.9
Cameroon,23.1,65.9,43.2,51.4,46.1,0.6,13.5,10.9,-5.0,-4.7,12.1,0.3,0.8,0.4,0.0,0.2,84.7,0.0,5.1,2372.40,5.1,15.9
Canada,0.0,99.8,99.8,93.0,70.6,0.7,10.1,4.0,9.7,-0.1,10.4,1.4,3.8,8.5,0.0,16.6,16.7,0.9,10.4,37780.99,7.2,70.1
Central African Republic,41.8,64.3,18.5,39.7,39.9,0.6,20.7,6.9,-8.4,-0.3,21.7,0.5,1.4,0.3,0.0,0.1,86.3,0.0,-0.8,797.39,7.0,68.5
Chad,39.7,46.7,10.5,37.5,41.9,0.5,13.2,16.2,-7.3,-0.4,13.6,1.9,1.5,0.3,0.0,0.1,86.3,0.0,-0.8,1800.69,6.7,26.2
Chile,5.0,96.3,94.2,86.2,68.7,0.6,30.7,4.8,7.1,0.6,7.9,3.6,2.7,1.7,0.0,3.3,25.1,0.2,5.3,16284.47,8.8,5.0
China,15.6,83.9,50.8,65.1,66.6,0.7,15.8,2.5,-3.1,2.7,16.2,19.4,0.9,1.3,-0.4,4.1,13.4,0.4,29.8,5787.80,4.3,32.0
Colombia,9.5,90.3,76.6,77.0,63.8,0.7,40.3,5.6,-3.5,-2.7,14.4,0.4,1.3,0.6,0.0,1.2,24.6,0.1,3.7,9071.16,14.3,35.8
Congo,30.2,71.2,13.2,55.1,48.4,0.6,18.8,10.0,-6.2,-0.5,10.9,0.6,0.8,0.3,-0.3,0.2,63.4,0.0,-59.1,4987.03,6.6,98.8
Congo Democratic Rep.,0.0,48.6,24.4,50.9,46.6,0.6,16.2,13.4,-10.3,-1.4,12.1,0.6,0.8,0.3,0.0,0.0,98.3,0.0,-12.3,477.68,8.2,104.3
Costa Rica,6.0,96.0,92.6,77.8,69.0,0.7,33.0,6.3,3.2,1.2,44.0,2.8,1.4,0.9,-0.3,1.3,53.1,0.3,15.8,10991.09,6.4,32.5
Cote d'Ivoire,14.8,79.0,18.9,40.4,67.3,0.6,15.4,7.5,-8.3,0.4,22.7,1.8,0.9,0.5,-0.3,0.3,75.9,0.0,0.3,2434.90,4.1,79.4
Croatia,0.0,98.6,97.2,75.9,66.9,0.7,6.7,0.0,2.6,0.6,15.8,0.6,1.8,2.2,-0.1,4.5,19.0,0.3,10.2,18559.65,13.7,38.3
Cuba,5.0,91.8,88.7,84.4,67.5,0.7,16.4,1.0,-4.3,4.5,4.2,13.1,0.9,1.0,0.1,2.2,19.0,0.2,6.3,16093.60,1.9,14.8
Cyprus,0.0,100.0,100.0,78.5,69.6,0.6,6.7,7.4,5.5,0.6,9.1,21.7,1.9,3.0,0.0,9.6,2.4,1.1,10.8,32440.02,4.3,59.5
Czech Republic,0.0,99.8,99.1,80.9,66.9,0.7,6.5,-0.1,4.7,0.2,23.2,14.7,2.6,4.5,-0.1,11.6,4.0,6.0,7.6,24921.10,8.3,27.9
Denmark,0.0,100.0,99.6,101.5,69.0,0.7,6.3,1.1,11.5,-0.1,23.0,4.8,4.2,3.6,0.0,8.9,15.0,5.2,14.2,41282.11,5.5,31.5
Dominican Republic,26.9,86.6,79.4,77.8,61.3,0.7,29.3,6.2,-2.5,7.3,19.5,19.1,0.7,0.7,0.2,1.9,14.7,3.7,13.5,9175.76,18.4,19.4
Ecuador,19.3,81.8,74.2,83.8,65.2,0.6,44.4,6.9,-4.1,2.5,29.6,2.2,1.1,0.7,0.1,1.7,13.5,0.5,-2.8,8112.18,6.7,28.8
Egypt,5.0,96.9,88.8,71.4,60.6,0.6,6.7,7.7,-2.9,0.0,13.3,109.3,0.9,0.7,-0.2,1.9,4.2,0.7,7.0,8773.77,10.7,85.9
El Salvador,10.2,85.2,65.9,79.1,60.1,0.7,29.3,1.8,-0.9,-2.2,5.1,7.9,1.2,0.7,-0.1,1.1,55.4,0.3,4.8,6556.77,6.8,39.1
Estonia,0.0,99.2,97.0,92.7,64.8,0.7,10.1,-2.4,5.9,0.5,11.8,12.5,4.3,3.9,-0.2,12.4,11.3,7.2,12.8,22558.11,10.0,4.4
Ethiopia,45.9,36.4,13.9,37.0,48.5,0.6,6.3,12.0,-5.6,-1.4,22.7,4.6,0.9,0.5,0.0,0.1,95.9,0.0,14.5,740.31,5.4,70.0
Finland,0.0,100.0,97.5,100.3,69.1,0.8,6.0,1.1,11.9,-0.1,13.2,4.9,1.8,7.1,-0.1,10.4,23.5,6.7,17.1,36917.13,8.8,38.1
France,0.0,100.0,98.7,90.9,70.8,0.7,7.3,3.0,7.6,1.9,21.3,15.1,2.6,4.3,0.0,5.9,5.8,2.0,10.9,35172.58,9.2,64.2
Gabon,5.0,87.2,39.6,75.4,52.4,0.6,14.6,9.3,-3.0,0.0,20.8,0.8,2.1,1.9,-0.6,1.3,79.6,0.0,-10.4,14720.46,20.9,39.6
Gambia,15.0,85.2,59.3,56.5,50.7,0.6,20.6,13.7,-2.2,1.9,7.0,1.1,0.9,0.3,0.0,0.1,86.3,0.0,-7.4,1328.17,7.1,140.6
Georgia,6.3,92.3,93.1,74.7,66.0,0.7,15.5,-4.5,-3.2,0.4,5.6,2.9,0.9,0.6,0.0,0.9,31.5,0.0,15.8,4944.11,12.6,32.0
Germany,0.0,100.0,99.2,95.3,69.7,0.8,10.3,0.1,8.6,0.2,34.0,14.2,2.0,4.2,0.0,9.7,5.1,4.7,10.0,36482.13,10.3,66.4
Ghana,11.6,75.8,11.6,50.2,51.9,0.7,17.2,10.9,-0.7,1.3,17.1,1.7,1.5,0.3,0.1,0.3,62.1,0.1,10.8,2493.43,6.9,26.2
Greece,0.0,99.3,96.8,92.2,70.4,0.7,10.7,1.2,4.7,2.3,14.1,13.8,2.3,2.7,-0.1,8.7,5.4,3.5,6.3,29440.99,10.5,102.9
Guatemala,16.2,86.6,57.4,59.9,58.9,0.6,35.5,10.1,-3.5,-4.9,61.8,2.6,1.2,0.6,0.0,0.8,56.2,0.3,9.0,6094.23,3.1,21.7
Guinea,23.1,66.8,14.8,40.8,47.7,0.6,13.8,8.0,-6.2,-1.5,37.3,0.2,1.3,0.3,0.0,0.1,86.3,0.0,-4.4,1089.41,2.0,137.1
Guinea-Bissau,25.4,59.0,15.0,57.0,47.0,0.6,13.6,8.9,-6.1,-3.4,24.2,0.6,1.5,0.3,0.0,0.1,86.3,0.3,-11.9,1191.79,6.9,204.0
Guyana,10.1,89.4,80.8,75.3,57.6,0.7,17.2,-0.1,-2.1,-0.2,2.2,0.6,1.5,0.2,0.0,0.4,53.3,0.0,8.6,4566.55,11.9,94.2
Haiti,57.6,60.7,23.2,58.4,52.8,0.7,78.2,6.6,-9.7,-0.3,0.3,4.1,0.4,0.3,-0.1,0.2,80.5,0.0,23.9,1443.05,8.0,39.1
Honduras,16.7,83.8,69.1,71.7,62.8,0.6,70.7,8.0,-3.2,-12.7,18.1,1.7,1.3,0.6,-0.2,1.0,45.0,0.1,17.3,3788.56,6.0,40.3
Hungary,0.0,99.0,98.0,87.4,64.8,0.7,6.9,-1.0,5.6,1.5,12.7,5.4,2.3,2.6,-0.1,5.4,4.3,3.0,5.4,21361.55,6.1,64.7
Iceland,0.0,100.0,98.8,94.2,71.4,0.8,6.4,4.1,11.1,0.1,4.3,1.0,52.7,10.5,0.1,7.5,76.3,0.2,1.4,37414.09,3.1,29.3
India,21.2,84.5,29.6,55.9,56.0,0.6,7.5,6.8,-1.7,1.1,7.9,32.7,0.5,0.4,-0.1,0.9,33.1,0.1,20.8,3227.36,3.9,77.1
Indonesia,18.8,80.6,51.2,65.8,60.3,0.7,7.2,5.5,-4.9,-5.5,12.0,5.6,0.9,0.8,-0.1,1.4,35.0,0.0,13.7,6568.55,9.9,35.8
Iran,6.5,94.9,82.8,64.5,63.3,0.6,11.6,5.0,-4.8,0.9,9.1,67.9,1.0,2.2,-0.2,6.0,1.1,0.0,7.1,14101.37,10.3,12.5
Iraq,25.1,82.3,78.5,63.0,58.0,0.6,6.4,11.4,-11.6,0.0,0.0,73.4,0.4,1.0,0.1,2.7,2.1,0.0,-8.4,10547.56,28.7,157.9
Ireland,0.0,96.8,89.6,95.5,69.3,0.7,9.1,7.6,8.6,1.9,1.5,1.6,2.6,3.6,0.0,10.6,2.5,0.8,22.4,45424.94,4.5,23.6
Israel,0.0,100.0,100.0,91.7,70.6,0.7,16.9,7.6,3.3,0.5,19.9,79.7,2.0,2.8,0.0,8.4,4.0,0.9,11.2,25171.95,10.4,79.8
Italy,0.0,100.0,99.5,88.3,71.2,0.6,11.6,1.7,4.2,2.6,19.7,25.8,2.3,3.2,0.0,7.8,7.6,8.4,9.3,34701.05,7.9,102.6
Jamaica,6.8,93.6,81.0,79.4,64.7,0.7,17.4,1.5,-0.3,-0.3,31.2,7.7,0.9,1.4,0.0,3.9,11.1,0.1,16.0,8024.17,11.4,117.1
Japan,0.0,100.0,100.0,85.5,73.5,0.6,9.2,0.5,7.1,0.1,23.6,19.5,1.5,4.1,0.0,9.2,3.0,0.2,8.9,31660.11,4.7,186.0
Jordan,5.0,96.8,98.1,82.4,63.5,0.6,9.1,10.0,0.4,0.0,3.6,85.4,1.2,1.2,-0.2,3.3,1.2,0.0,19.3,8907.29,12.4,76.3
Kazakhstan,5.5,93.6,97.0,79.1,58.3,0.7,7.3,1.9,-4.3,0.0,4.3,17.6,1.2,3.4,-0.4,10.4,1.4,0.0,-19.5,15613.13,8.4,6.7
Kenya,31.8,55.2,27.8,58.9,47.4,0.6,22.7,10.9,-3.7,0.1,20.3,6.7,0.8,0.4,0.0,0.2,84.8,0.0,7.0,2255.11,9.6,44.0
"Korea, North",34.2,99.8,68.5,80.5,61.7,0.7,9.5,3.3,-8.6,-10.5,4.2,11.2,0.6,0.9,0.0,3.2,10.2,0.2,26.0,1038.00,4.2,30.0
"Korea, South",5.0,95.6,100.0,97.0,70.3,0.6,7.8,1.6,4.1,-1.0,13.1,41.9,1.5,4.3,-0.1,9.5,0.5,0.3,21.1,24534.81,3.7,29.3
Kuwait,5.0,99.0,100.0,81.4,64.5,0.6,9.5,13.7,2.1,0.1,7.6,275.0,1.5,10.8,-0.1,28.6,0.0,0.2,19.5,65387.68,1.7,10.6
Kyrgyz Republic,10.4,81.5,92.2,78.4,60.0,0.7,8.5,4.4,-5.0,-0.1,30.3,36.0,0.8,0.5,-0.1,0.9,42.9,0.0,3.0,2223.23,8.5,72.5
